Grade,Chapter,Topic Nos.,Topic,Subtopic Nos.,"Skill (Reading, Listening, Speaking, Writing, Language)",Domain & Axis,Standard , Learning Objectives Nos., Learning Objectives ," Linguistic Concepts (Grammar, Spelling, Rhetoric)",Saal Practice,Saal Lessons,,,,,,,,,,,,,,
Grade 2,,2.2,تــحــلــيــل النص,1.2.2,القراءة,قــــــــراءة الـنـصـوص الأدبية,"أن يحـدد المتعلم جوانب معينة في النصوص الأدبية ويفهمها، ويحلل عناصر النص وخيارات المؤلفين في اختيار الكلمات والأساليب الأدبية المناسبة لنصوصهم.",G2.1.1.2.2,يقارن المتعلم بين الشخصيات والزمان والمكان في قصص قرأها.,,,,,,,,,,,,,,,,,
Grade 2,,2.2,تــحــلــيــل النص,1.2.2,القراءة,قــــــــراءة الـنـصـوص الأدبية,"أن يحـدد المتعلم جوانب معينة في النصوص الأدبية ويفهمها، ويحلل عناصر النص وخيارات المؤلفين في اختيار الكلمات والأساليب الأدبية المناسبة لنصوصهم.",G2.2.1.2.2,"يحدد المتعلم الكلمات والعبارات التي تكون الإيقاع الشعري الإيقاعات المنتظمة، والأسطر المتكررة... إلخ.",,,,,,,,,,,,,,,,,
Grade 2,,2.2,تــحــلــيــل النص,1.2.2,القراءة,قــــــــراءة الـنـصـوص الأدبية,"أن يحـدد المتعلم جوانب معينة في النصوص الأدبية ويفهمها، ويحلل عناصر النص وخيارات المؤلفين في اختيار الكلمات والأساليب الأدبية المناسبة لنصوصهم.",G2.3.1.2.2,"يتعرف المتعلم المصطلحات الصحيحة لأنواع مختلفة من النصوص الأدبية، ويستخدمها، مثل: القصيدة، البيت، الشطر، البداية، الوسط، النهاية",,,,,,,,,,,,,,,,,
Grade 2,,3.2,تـــكـــامـــل المعرفة مع الفكر,1.3.2,القراءة,قــــــــراءة الـنـصـوص الأدبية,"أن يقرأ المتعلم نصوصا شعرية وأعملا نثرية متنوعة ويحللها ويقيمها، ويـدمـج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمل الأدبية.",G2.1.1.3.2,"يربط المتعلم بين الصور التي يشاهدها والأحداث المناسبة لها، مفسرا العلاقات بينها تفسيرا منطقيا.",,,,,,,,,,,,,,,,,
Grade 2,,3.2,تـــكـــامـــل المعرفة مع الفكر,1.3.2,القراءة,قــــــــراءة الـنـصـوص الأدبية,"أن يقرأ المتعلم نصوصا شعرية وأعملا نثرية متنوعة ويحللها ويقيمها، ويـدمـج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمل الأدبية.",G2.2.1.3.2,"يتفاعل المتعلم مع النصوص المقروءة بوسائل مختلفة: الرسم، الكتابة، الحاسوب، الجهاز اللوحي، مستنتجا القيم الواردة فيها.",,,,,,,,,,,,,,,,,
Grade 2,,3.2,تـــكـــامـــل المعرفة مع الفكر,1.3.2,الكتابة,قــــــــراءة الـنـصـوص الأدبية,"أن يقرأ المتعلم نصوصا شعرية وأعملا نثرية متنوعة ويحللها ويقيمها، ويـدمـج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمل الأدبية.",G2.3.1.3.2,"ينتج المتعلم عملا أدبيا مبسطا على ضوء نص درسه مظهرا الشخصيات، المكان.",,,,,,,,,,,,,,,,,
Grade 2,,3.2,تـــكـــامـــل المعرفة مع الفكر,1.3.2,الكتابة,قــــــــراءة الـنـصـوص الأدبية,"أن يقرأ المتعلم نصوصا شعرية وأعملا نثرية متنوعة ويحللها ويقيمها، ويـدمـج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمل الأدبية.",G2.4.1.3.2,يقترح المتعلم نهايات بديلة لقصة قرأها.,,,,,,,,,,,,,,,,,
Grade 2,,3.2,تـــكـــامـــل المعرفة مع الفكر,1.3.2,القراءة,قــــــــراءة الـنـصـوص الأدبية,"أن يقرأ المتعلم نصوصا شعرية وأعملا نثرية متنوعة ويحللها ويقيمها، ويـدمـج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمل الأدبية.",G2.5.1.3.2,"يحفظ المتعلم 6 أناشيد قصيرة تتألف من 5 - 8 أبيات، تدور موضوعاتها تناسب المرحلة، مثل: الطفولة، والأسرة، والبيت، والوطن، والحيوانات، والطبيعة، والبيئة، والقيم الإنسانية، وغيرها.",,,,,,,,,,,,,,,,,
Grade 2,,1.3,مـــعـــرفـــة الـــفـــكـــر الـرئـيـسـة والتفاصيل,1.1.3,القراءة,قــــــــراءة الـنـصـوص المعلوماتية,"أن يـقـرأ المـتـعـلـم النص المعلوماتي بعمق وشمولية، ويحــدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G2.1.1.1.3,"يطرح المتعلم أسئلة مثل: من، ماذا، متى، أين، لماذا، كيف عن المعلومات والرسومات التوضيحية والأحداث، ويجيب عن أسئلة أخرى.",,,,,,,,,,,,,,,,,
Grade 2,,1.3,مـــعـــرفـــة الـــفـــكـــر الـرئـيـسـة والتفاصيل,1.1.3,القراءة,قــــــــراءة الـنـصـوص المعلوماتية,"أن يـقـرأ المـتـعـلـم النص المعلوماتي بعمق وشمولية، ويحــدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G2.2.1.1.3,يذكر المتعلم الفكرة المحورية والفكر الرئيسة لكل فقرة في نص معلوماتي مكون من فقرات.,,,,,,,,,,,,,,,,,
Grade 2,,1.3,مـــعـــرفـــة الـــفـــكـــر الـرئـيـسـة والتفاصيل,1.1.3,القراءة,قــــــــراءة الـنـصـوص المعلوماتية,"أن يـقـرأ المـتـعـلـم النص المعلوماتي بعمق وشمولية، ويحــدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G2.3.1.1.3,"يستنتج المتعلم العلاقة الزمنية بين حدثين أو أكثر، أو بين مفاهيم علمية مقدمة في النص المعلوماتي.",,,,,,,,,,,,,,,,,
Grade 2,,2.3,تــحــلــيــل النص,1.2.3,اللغة (معجم),قــــــــراءة الـنـصـوص المعلوماتية,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G2.1.1.2.3,"يتعرف المتعلم معاني الكلمات والمصطلحات والعبارات الواردة في نص معلوماتي من خلال: السياق، والكلمات المكتوبة على لوحات الصف الجدارية، والمعاجم البسيطة، والرموز الموجودة في الرسومات، والملحوظات الهامشية.",,,,,,,,,,,,,,,,,
Grade 2,,2.3,تــحــلــيــل النص,1.2.3,القراءة,قــــــــراءة الـنـصـوص المعلوماتية,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G2.2.1.2.3,"يستخدم المتعلم ســمات الـنـص لتحديد المعلومات والحقائق الرئيسة مثل: التعليقات، الشروحات على الصور، عناوين الصفحات، جداول المحتويات....،",,,,,,,,,,,,,,,,,
Grade 2,,2.3,تــحــلــيــل النص,1.2.3,القراءة,قــــــــراءة الـنـصـوص المعلوماتية,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G2.3.1.2.3,يحدد المتعلم الغاية من النص المعلوماتي أو من المعلومات التي يريد المؤلف شرحها أو وصفها.,,,,,,,,,,,,,,,,,
Grade 2,,3.3,تـــكـــامـــل المعرفة مع المهارات,1.3.3,القراءة,قــــــــراءة الـنـصـوص المعلوماتية,"أن يتبين وظيفة النص من خـلال الوسائط المختلفة، وينقد ما جاء فيه من معارف وآراء، ويبني خبات جديدة ليوظفها في نتاجات متنوعة.",G2.1.1.3.3,يشرح المتعلم كيف تساهم الصور والرسومات التوضيحية في فهم النص.,,,,,,,,,,,,,,,,,
Grade 2,,3.3,تـــكـــامـــل المعرفة مع المهارات,1.3.3,القراءة,قــــــــراءة الـنـصـوص المعلوماتية,"أن يتبين وظيفة النص من خـلال الوسائط المختلفة، وينقد ما جاء فيه من معارف وآراء، ويبني خبات جديدة ليوظفها في نتاجات متنوعة.",G2.2.1.3.3,"يبدي المتعلم رأيه في الصور والمشاهد وفكرة النص مبينا السبب، مثال : أعجبني... لأنه، ... 
 أو لم يعجبني... لأنه....",,,,,,,,,,,,,,,,,
Grade 2,,3.3,تـــكـــامـــل المعرفة مع المهارات,1.3.3,القراءة,قــــــــراءة الـنـصـوص المعلوماتية,"أن يتبين وظيفة النص من خـلال الوسائط المختلفة، وينقد ما جاء فيه من معارف وآراء، ويبني خبات جديدة ليوظفها في نتاجات متنوعة.",G2.3.1.3.3,يرتب المتعلم صورا لخطوات وفق ترتيب زمني يراه منطقيا بعد قراءته نصا إرشاديا مبنيا على خطوات.,,,,,,,,,,,,,,,,,
Grade 2,,1.4,البحث عن المعلومات,1.1.4,الكتابة,الكتابة,"أن يـبـحـث المـتـعـلـم عن المـعـلـومـات، ويطبقها في موضوعات كتابية تستند إلى أغراض محددة تظهر فهمه بـالمـادة التي يبحث عنها وتتناسب مع غرض الكتابة وطبيعتها.",G2.1.1.1.4,يبحث المتعلم في مصادر متنوعة ملائمة؛ ليجيب عن أسئلة محددة في موضوع ما.,,,,,,,,,,,,,,,,,
Grade 2,,1.4,البحث عن المعلومات,1.1.4,الكتابة,الكتابة,"أن يـبـحـث المـتـعـلـم عن المـعـلـومـات، ويطبقها في موضوعات كتابية تستند إلى أغراض محددة تظهر فهمه بـالمـادة التي يبحث عنها وتتناسب مع غرض الكتابة وطبيعتها.",G2.2.1.1.4,يكتب المتعلم معلومات من عدة مصادر؛ مستندا إلى خبته الشخصية.,,,,,,,,,,,,,,,,,
Grade 2,,1.4,البحث عن المعلومات,1.1.4,الكتابة,الكتابة,"أن يـبـحـث المـتـعـلـم عن المـعـلـومـات، ويطبقها في موضوعات كتابية تستند إلى أغراض محددة تظهر فهمه بـالمـادة التي يبحث عنها وتتناسب مع غرض الكتابة وطبيعتها.",G2.3.1.1.4,يتشارك المتعلم مع زملائه في إعداد مشروعات بحثية كتابية مناسبة.,,,,,,,,,,,,,,,,,
Grade 2,,2.4,إنـــــتـــــاج الأعــــــمل الكتابيــــة ونشرها,1.2.4,الكتابة,الكتابة,أن ينتج المتعلم أعملا كتابية واضحة ومتنوعة تظهر توجها نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G2.1.1.2.4,ينشئ نصوصا مقروءة بخط واضح مرتب يمبّز اعتناءه بما يكتب.,,,,,,,,,,,,,,,,,
Grade 2,,2.4,إنـــــتـــــاج الأعــــــمل الكتابيــــة ونشرها,1.2.4,الكتابة,الكتابة,أن ينتج المتعلم أعملا كتابية واضحة ومتنوعة تظهر توجها نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G2.2.1.2.4,"يكتب المتعلم فقرة مضمنا إياها جملة رئيسة،وتفاصيل داعمة، وجملة خاتمة.",,,,,,,,,,,,,,,,,
Grade 2,,2.4,إنـــــتـــــاج الأعــــــمل الكتابيــــة ونشرها,1.2.4,الكتابة,الكتابة,أن ينتج المتعلم أعملا كتابية واضحة ومتنوعة تظهر توجها نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G2.3.1.2.4,"يراجع المتعلم ما يكتبه المسودة لتحسين مستوى الكتابة، وتحقيق التمسك والتتابع المنطقي، مستخدما علامات الترقيم.",,,,,,,,,,,,,,,,,
Grade 2,,2.4,إنـــــتـــــاج الأعــــــمل الكتابيــــة ونشرها,2.2.4,الكتابة,الكتابة,"أن ينتج المتعلم نصوصا تصف أشياء وأشخاصا من محيطه، وتتحدث عن أحداث وخبات مألوفة له، وتظهر كتاباته تقيده بالسلامة اللغوية.",G2.1.2.2.4,يكتب المتعلم قصة من خلال ترتيب الجمل البسيطة واللوحات المصورة.,,,,,,,,,,,,,,,,,
Grade 2,,2.4,إنـــــتـــــاج الأعــــــمل الكتابيــــة ونشرها,2.2.4,الكتابة,الكتابة,"أن ينتج المتعلم نصوصا تصف أشياء وأشخاصا من محيطه، وتتحدث عن أحداث وخبات مألوفة له، وتظهر كتاباته تقيده بالسلامة اللغوية.",G2.2.2.2.4,يكتب المتعلم بطاقة تهنئة ودعـوة وجملا إرشادية مفيدة.,,,,,,,,,,,,,,,,,
Grade 2,,2.4,إنـــــتـــــاج الأعــــــمل الكتابيــــة ونشرها,3.2.4,الكتابة,الكتابة,"أن يـسـتـخـدم المـتـعـلـم الـتـكـنـولـوجـيـا، بمــا فيها الإنـــترنـــت، وغــيرهــا من المصادر؛ لينتج وينشر عملا كتابيا متفاعلا مع الآخرين.",G2.1.3.2.4,يستخدم المتعلم التكنولوجيا في طباعة إنتاجه الأدبي ونشره.,,,,,,,,,,,,,,,,,
Grade 2,,2.4,إنـــــتـــــاج الأعــــــمل الكتابيــــة ونشرها,3.2.4,الكتابة,الكتابة,"أن يـسـتـخـدم المـتـعـلـم الـتـكـنـولـوجـيـا، بمــا فيها الإنـــترنـــت، وغــيرهــا من المصادر؛ لينتج وينشر عملا كتابيا متفاعلا مع الآخرين.",G2.2.3.2.4,يستخدم المتعلم مستقلا أو ضمن مجموعات الرسومات التوضيحية والتخطيطية الرقمية والشبكات للتخطيط للكتابة ولإنتاج الكتابة ونشرها.,,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,2.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يظهر المتعلم فهمًا لمواد مسموعة، ويـتـواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستملتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G2.1.2.1.5,يصف المتعلم الأشخاص والأماكن والأشياء مع تفاصيل إضافية مستخدما اللغة العربية الفصيحة مراعيا آداب المحادثة.,,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,2.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يظهر المتعلم فهمًا لمواد مسموعة، ويـتـواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستملتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G2.2.2.1.5,يستوعب المتعلم المــادة المسموعة نص معلوماتي ويختار عنوانا لها.,,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,2.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يظهر المتعلم فهمًا لمواد مسموعة، ويـتـواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستملتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G2.3.2.1.5,يستوعب المتعلم المادة المسموعة نص سردي ويعيد ذكر المحتوى بدقة وترتيب مميزا الفكر الواردة فيها من تلك التي لم ترد.,,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,2.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يظهر المتعلم فهمًا لمواد مسموعة، ويـتـواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستملتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G2.4.2.1.5,"يستوعب المتعلم النص المسموع، ويتبع توجيهات مكونة من خطوات متعددة.",,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,4.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفقا لمجموعة متنوعة مــن الـسـيـاقـات والمــهــام التواصلية، مظهرا إجادته للغة العربية الفصيحة.",G2.1.4.1.5,يعيد المتعلم سرد قصة حقيقية أو خيالية سمعها أو قرأها ذاكـرا بعض التفاصيل مثل المكان. الشخصيات.,,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,4.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفقا لمجموعة متنوعة مــن الـسـيـاقـات والمــهــام التواصلية، مظهرا إجادته للغة العربية الفصيحة.",G2.2.4.1.5,يناقش المتعلم زملاءه في قضية أو ظاهرة من محيطه مظهرا القدرة على تنظيم أفكاره موظفا الإياءات ولغة الجسد في التعبير عن مشاعره أو أفكاره باستخدام اللغة العربية.,,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,4.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفقا لمجموعة متنوعة مــن الـسـيـاقـات والمــهــام التواصلية، مظهرا إجادته للغة العربية الفصيحة.",G2.3.4.1.5,يجيب عن المداخلات والتعليقات أثناء حديثه دون الخروج عن الموضوع أو الفكرة العامة.,,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,4.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفقا لمجموعة متنوعة مــن الـسـيـاقـات والمــهــام التواصلية، مظهرا إجادته للغة العربية الفصيحة.",G2.4.4.1.5,يعبّر عن تجربة شخصية مراعيا تسلسل الأحداث.,,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,5.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يستخدم المتعلم الوسائل الرقمية في العروض البصرية للتعبير عن المعلومات، ويفهم المــادة المعروضة من خلال هذه الوسائط.",G2.1.5.1.5,"يقدم المتعلم عرضا تقديميا باستخدام الوسائط الرقمية عن موضوع مألوف بيئته - ألعابه...، ويعلق عليه بحقائق وتفصيملأت متقبلا آراء الآخرين.",,,,,,,,,,,,,,,,,
Grade 2,,1.5,استيعـــاب المــعــرفــة وتقديها,5.1.5,الاستماع والمحادثة,الاستماع والمحادثة,"أن يستخدم المتعلم الوسائل الرقمية في العروض البصرية للتعبير عن المعلومات، ويفهم المــادة المعروضة من خلال هذه الوسائط.",G2.2.5.1.5,يستخدم المتعلم مخططات الرسوم البيانية والجداول الزمنية والرسوم المتحركة في توضيح أفكار أو أحداث محددة ا آداب المحادثة.,,,,,,,,,,,,,,,,,
Grade 2,,1.6,اكـتـسـاب المــفــردات واستخدامها المعجم,1.1.6,اللغة (المعجم),اللغة,"أن يكتسب المتعلم مفردات جديدة من خلال احتكاكه بمــواقــف غنية ومتنوعة امجتمعيّة، رياضية، علمية،",G2.1.1.1.6,يجمع المتعلم كلمات من محيط لغوي واحد.,مفردات جديدة,,,,,,,,,,,,,,,,
Grade 2,,1.6,اكـتـسـاب المــفــردات واستخدامها المعجم,1.1.6,اللغة (المعجم),اللغة,"أن يكتسب المتعلم مفردات جديدة من خلال احتكاكه بمــواقــف غنية ومتنوعة امجتمعيّة، رياضية، علمية،",G2.2.1.1.6,يحدد المتعلم علاقات التضاد والـترادف بين الكلمات.,تضاد وترادف,,,,,,,,,,,,,,,,
Grade 2,,1.6,اكـتـسـاب المــفــردات واستخدامها المعجم,1.1.6,اللغة (المعجم),اللغة,"أن يكتسب المتعلم مفردات جديدة من خلال احتكاكه بمــواقــف غنية ومتنوعة امجتمعيّة، رياضية، علمية،",G2.3.1.1.6,يستبدل المتعلم بالأسماء والأفعال العامية كلمات فصيحة شفويا.,من العامية الى الفصحى,,,,,,,,,,,,,,,,
Grade 2,,1.6,اكـتـسـاب المــفــردات واستخدامها المعجم,3.1.6,اللغة (المعجم),اللغة,أن يفسر المتعلم المفردات الجديدة من خلال سياقاتها المختلفة.,G2.1.3.1.6,يفسر المتعلم الكلمات الجديدة مستخدما المعجم المبسط المصور.,تفسير المفردات,,,,,,,,,,,,,,,,
Grade 2,,1.6,اكـتـسـاب المــفــردات واستخدامها المعجم,3.1.6,اللغة (المعجم),اللغة,أن يفسر المتعلم المفردات الجديدة من خلال سياقاتها المختلفة.,G2.2.3.1.6,يفسر المتعلم الكلمات مستعينا بمرادفاتها وأضدادها وسياقها.,تفسير المفردات,,,,,,,,,,,,,,,,
Grade 2,,2.6,بنيـة اللغـة الـعـربـيـة: النحو والصرف,2.2.6,اللغة (النحو والصرف),اللغة,أن يـتـعـّرف المـتـعـلـم المفاهيم النحوية والصرفية ويستخدمها اسـتـخـداما صحيحا.,G2.1.2.2.6,يحاكي المتعلم شفويا جملة فعلية بسيطة مستخدما الفعل المـاضي والمضارع للمذكر والمؤنث.,جملة فعلية: المذكّر والمؤنث,,,,,,,,,,,,,,,,
Grade 2,,2.6,بنيـة اللغـة الـعـربـيـة: النحو والصرف,2.2.6,اللغة (النحو والصرف),اللغة,أن يـتـعـّرف المـتـعـلـم المفاهيم النحوية والصرفية ويستخدمها اسـتـخـداما صحيحا.,G2.2.2.2.6,يميّز المتعلم الأسماء والأفعال والحروف. التركيز على الاسم والفعل بالدرجة الأولى,مفردات وتراكيب: الأسماء والأفعال,,,,,,,,,,,,,,,,
Grade 2,,2.6,بنيـة اللغـة الـعـربـيـة: النحو والصرف,2.2.6,اللغة (النحو والصرف),اللغة,أن يـتـعـّرف المـتـعـلـم المفاهيم النحوية والصرفية ويستخدمها اسـتـخـداما صحيحا.,G2.3.2.2.6,"يوظف المتعلم شفويا أسلوب الإثبات والنفي في الإجابة عن سؤال: لم، لن، لا، ليس.",أساليب الكلام: الإثبات والنفي,,,,,,,,,,,,,,,,
Grade 2,,2.6,بنيـة اللغـة الـعـربـيـة: النحو والصرف,2.2.6,اللغة (النحو والصرف),اللغة,أن يـتـعـّرف المـتـعـلـم المفاهيم النحوية والصرفية ويستخدمها اسـتـخـداما صحيحا.,G2.4.2.2.6,"يحاكي المتعلم جملة فعلية بسيطة تتضمن ظرف الزمان صباحا، عصرا، مساء.. وظرف المكان خلف، أمام، فوق، تحت، أعلى، أسفل.",جملة فعلية- مفردات وتراكيب ظرفي المكان والزمان,,,,,,,,,,,,,,,,
